1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,TotalSF
1314,0.0,3.0,0,922,3,392,0.0,294,2,1957.0,1314,1,8400,70.0,0.0,0,6,5,1314,0.0,1957,1957,2628.0
799,772.0,3.0,0,0,1,799,0.0,380,2,1993.0,1571,1,7837,59.0,0.0,40,7,6,799,0.0,1993,1994,2370.0
796,0.0,2.0,0,0,1,796,0.0,0,0,0.0,796,1,8777,67.0,0.0,0,7,5,796,328.0,1910,1950,1592.0
981,787.0,3.0,0,569,5,162,0.0,240,1,1939.0,1768,2,7200,60.0,252.0,0,7,5,731,0.0,1937,1950,2499.0
1026,665.0,3.0,0,218,2,808,0.0,308,1,1924.0,1691,2,5000,50.0,0.0,0,6,5,1026,0.0,1924,1950,2717.0
894,0.0,3.0,0,894,5,0,0.0,552,1,1975.0,894,1,9800,70.0,0.0,0,7,5,894,0.0,1972,1972,1788.0
684,876.0,3.0,2,0,1,684,0.0,400,3,2005.0,1560,2,11911,122.0,0.0,38,5,6,684,0.0,2005,2005,2244.0
796,358.0,3.0,0,735,4,61,0.0,240,1,1922.0,1154,2,5436,40.0,0.0,96,8,4,796,0.0,1922,2007,1950.0
1422,0.0,3.0,0,588,0,606,0.0,576,3,1981.0,1422,2,12090,78.0,210.0,0,6,6,1422,0.0,1981,1981,2844.0
1496,0.0,3.0,2,0,1,1496,0.0,474,0,2007.0,1496,2,9158,76.0,140.0,130,5,8,1496,0.0,2007,2007,2992.0
913,0.0,3.0,3,187,2,0,0.0,240,1,1990.0,913,1,8400,70.0,0.0,0,5,6,814,0.0,1966,1966,1727.0
1086,0.0,3.0,2,516,5,380,0.0,484,2,1966.0,1086,1,13400,85.0,1047.0,0,5,5,1024,0.0,1966,1966,2110.0
1601,0.0,3.0,0,704,5,567,0.0,478,2,1978.0,1601,1,11880,82.0,206.0,0,5,7,1271,0.0,1978,1978,2872.0
1186,800.0,3.0,0,454,4,314,0.0,486,1,1965.0,1986,1,13600,85.0,176.0,42,6,7,768,0.0,1965,1990,2754.0
1164,0.0,3.0,0,0,1,1164,0.0,528,1,1969.0,1164,1,9600,80.0,168.0,0,5,7,1164,0.0,1969,1969,2328.0
1010,1257.0,4.0,0,0,1,1010,0.0,390,2,2002.0,2267,2,8068,69.0,0.0,46,5,6,1010,0.0,2002,2002,3277.0
2259,0.0,3.0,1,35,0,905,0.0,450,1,1953.0,2259,2,21000,69.0,184.0,120,5,6,1809,0.0,1953,1953,4068.0
825,0.0,2.0,0,180,2,0,0.0,720,2,1963.0,825,1,8235,49.0,0.0,50,7,5,825,0.0,1955,1995,1650.0
698,728.0,3.0,0,535,4,155,0.0,440,3,1977.0,1426,1,7950,75.0,140.0,0,6,6,690,252.0,1977,1977,2116.0
1651,0.0,3.0,0,1398,5,0,0.0,616,3,1986.0,1651,1,12416,47.0,132.0,0,5,6,1606,0.0,1986,1986,3257.0
789,0.0,2.0,0,0,1,768,0.0,200,1,1926.0,789,1,10594,55.0,0.0,0,5,5,768,0.0,1926,1950,1557.0
1338,1296.0,6.0,0,500,2,748,0.0,968,0,1969.0,2634,1,11643,91.0,368.0,0,5,5,1248,0.0,1969,1969,3882.0
1042,534.0,3.0,0,0,1,1042,0.0,225,1,1928.0,1576,1,6240,52.0,0.0,0,6,5,1042,0.0,1928,1950,2618.0
783,701.0,3.0,0,0,0,783,0.0,393,3,2005.0,1484,2,10237,65.0,0.0,72,5,6,783,0.0,2005,2007,2267.0
1200,0.0,2.0,0,833,0,343,0.0,555,2,2003.0,1200,2,10083,67.0,0.0,41,5,7,1176,0.0,2003,2003,2376.0
625,625.0,2.0,0,0,1,625,0.0,528,2,2006.0,1250,2,4251,35.0,0.0,54,5,7,625,0.0,2006,2007,1875.0
1902,0.0,3.0,2,1406,6,496,0.0,567,3,1959.0,1902,3,17500,100.0,0.0,207,8,7,1902,0.0,1959,2002,3804.0
1040,0.0,2.0,4,0,0,0,0.0,400,1,1949.0,1040,1,8544,69.0,340.0,0,4,3,0,0.0,1949,1950,1040.0
1502,0.0,3.0,0,0,1,1502,0.0,644,2,2009.0,1502,2,9541,79.0,268.0,114,5,7,1502,0.0,2009,2009,3004.0
1228,0.0,3.0,0,0,1,1228,0.0,271,1,1966.0,1228,2,8544,69.0,0.0,65,6,5,1228,0.0,1966,2006,2456.0
